buggy_code,fixed_code
LOG.warn(e.getMessage()),"LOG.warn(""Failed to delete path from UFS: {}"",e.getMessage())"
LOG.warn(e.getMessage()),"LOG.warn(""SpaceReserver failed to free tier {} to {} bytes used: {}"",tierAlias,reservedSpace,e.getMessage())"
retry.attemptRetry(),retry.attempt()
retry.attemptRetry(),retry.attempt()
Preconditions.checkNotNull(uri),"Preconditions.checkNotNull(uri,""uri"")"
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
obj.setContentEncoding(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM),obj.setContentType(Mimetypes.MIMETYPE_BINARY_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
meta.setContentEncoding(Mimetypes.MIMETYPE_OCTET_STREAM),meta.setContentType(Mimetypes.MIMETYPE_OCTET_STREAM)
!NettyUtils.isDomainSocketSupported(dataSource),NettyUtils.isDomainSocketSupported(dataSource)
mLocalWorkerAddress.getRpcPort(),mLocalWorkerAddress.getDataPort()
mLocalWorkerAddress.getRpcPort(),mLocalWorkerAddress.getDataPort()
1,1
1,1
1,0
1,0
return false; ,return true; 
"Mockito.doNothing().when(mFileSystemMasterClient).rename(src,dst)","Mockito.doNothing().when(mFileSystemMasterClient).rename(src,dst,renameOptions)"
"Mockito.verify(mFileSystemMasterClient).rename(src,dst)","Mockito.verify(mFileSystemMasterClient).rename(src,dst,renameOptions)"
"Mockito.doThrow(EXCEPTION).when(mFileSystemMasterClient).rename(src,dst)","Mockito.doThrow(EXCEPTION).when(mFileSystemMasterClient).rename(src,dst,renameOptions)"
2,18
2,18
2,18
stat.st_size.get(),stat.st_size.longValue()
stat.st_size.get(),stat.st_size.longValue()
stat.st_ctim.tv_nsec.get(),stat.st_ctim.tv_nsec.longValue()
stat.st_ctim.tv_nsec.get(),stat.st_ctim.tv_nsec.longValue()
stat.st_mtim.tv_nsec.get(),stat.st_mtim.tv_nsec.longValue()
stat.st_mtim.tv_nsec.get(),stat.st_mtim.tv_nsec.longValue()
stat.st_mode.get(),stat.st_mode.intValue()
stat.st_mode.get(),stat.st_mode.intValue()
return EOF_BLOCK_ID; ,return EOF_DATA; 
key.equals(PropertyKey.ZOOKEEPER_ENABLED),!key.equals(PropertyKey.ZOOKEEPER_ENABLED)
1,33
1,33
1,33
LOCAL_OPTION.getOpt(),LOCAL_OPTION.getLongOpt()
LOCAL_OPTION.getOpt(),LOCAL_OPTION.getLongOpt()
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit output stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit output stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty output stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating short circuit input stream for block {} @ {}"",blockId,address)","LOG.debug(""Creating short circuit input stream for block {} @ {}"",blockId,address)"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
"LOG.info(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())","LOG.debug(""Creating netty input stream for block {} @ {} from client {}"",blockId,address,NetworkAddressUtils.getClientHostName())"
Preconditions.checkNotNull(containerIdGenerator),"Preconditions.checkNotNull(containerIdGenerator,""containerIdGenerator"")"
Preconditions.checkNotNull(blockIds),"Preconditions.checkNotNull(blockIds,""blockIds"")"
Preconditions.checkNotNull(fileSystemMaster),"Preconditions.checkNotNull(fileSystemMaster,""fileSystemMaster"")"
mUfs.create(testFile),"mUfs.create(testFile,CreateOptions.defaults().setEnsureAtomic(true))"
mUfs.create(testFile),"mUfs.create(testFile,CreateOptions.defaults().setEnsureAtomic(true))"
LinkedList<>,ArrayList<>
LinkedList<>,ArrayList<>
AlluxioLogServer.class,AlluxioLogServerProcess.class
Integer.valueOf(options.getMaxKeys()),Integer.parseInt(options.getMaxKeys())
Integer.valueOf(options.getMaxKeys()),Integer.parseInt(options.getMaxKeys())
"System.err.format(""Tier %d: Not enough space on %s. %n"" + ""Desired quota: %s%n"" + ""Used in tiered storage: %s%n""+ ""Available: %s%n"",level,storageEntry.getKey(),FormatUtils.getSizeFromBytes(quota),FormatUtils.getSizeFromBytes(used),FormatUtils.getSizeFromBytes(available))","System.err.format(""Tier %d: Not enough space on %s. %n"" + ""Desired quota: %s%n"" + ""Used in tiered storage: %s%n""+ ""Available: %s%n"",level,storageEntry.getKey(),FormatUtils.getSizeFromBytes(quota),FormatUtils.getSizeFromBytes(used),FormatUtils.getSizeFromBytes(available),FormatUtils.getSizeFromBytes(quota - used - available))"
"PathUtils.concatPath(filePath,YML_FILE_DIR)","PathUtils.concatPath(homeDir,YML_FILE_DIR)"
"PathUtils.concatPath(filePath,YML_FILE_DIR)","PathUtils.concatPath(homeDir,YML_FILE_DIR)"
1,17
Preconditions.checkNotNull(path),"Preconditions.checkNotNull(path,""path"")"
Preconditions.checkNotNull(path),"Preconditions.checkNotNull(path,""path"")"
Preconditions.checkNotNull(hostname),"Preconditions.checkNotNull(hostname,""hostname"")"
18,26
2,18
1,17
1,17
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(manager),"Preconditions.checkNotNull(manager,""manager"")"
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(manager),"Preconditions.checkNotNull(manager,""manager"")"
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(mBlockIdsOnTiers),"Preconditions.checkNotNull(mBlockIdsOnTiers,""mBlockIdsOnTiers"")"
Preconditions.checkNotNull(manager),"Preconditions.checkNotNull(manager,""manager"")"
Preconditions.checkNotNull(blockWorker),"Preconditions.checkNotNull(blockWorker,""blockWorker"")"
Preconditions.checkNotNull(blockWorker),"Preconditions.checkNotNull(blockWorker,""blockWorker"")"
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS),Configuration.getMs(PropertyKey.USER_NETWORK_NETTY_TIMEOUT_MS)
Configuration.getLong(PropertyKey.USER_FILE_WAITCOMPLETED_POLL_MS),Configuration.getMs(PropertyKey.USER_FILE_WAITCOMPLETED_POLL_MS)
Configuration.getLong(PropertyKey.USER_FILE_WAITCOMPLETED_POLL_MS),Configuration.getMs(PropertyKey.USER_FILE_WAITCOMPLETED_POLL_MS)
Configuration.getInt(PropertyKey.MASTER_TTL_CHECKER_INTERVAL_MS),Configuration.getMs(PropertyKey.MASTER_TTL_CHECKER_INTERVAL_MS)
Configuration.getInt(PropertyKey.MASTER_TTL_CHECKER_INTERVAL_MS),Configuration.getMs(PropertyKey.MASTER_TTL_CHECKER_INTERVAL_MS)
"LOG.warn(""Failed to get mount information: {}"",e.getMessage())","LOG.debug(""Failed to get mount information: {}"",e.getMessage())"
"LOG.warn(""Failed to get mount information: {}"",e.getMessage())","LOG.debug(""Failed to get mount information: {}"",e.getMessage())"
status.isDir(),!status.isDir()
status.isDir(),!status.isDir()
status.isDirectory(),status.isDir()
status.isDirectory(),status.isDir()
status.isDirectory(),status.isDir()
status.isDirectory(),status.isDir()
Exception e,Throwable e
10,26
"ufsDeleter.delete(alluxioUriToDel,delInode)","!ufsDeleter.delete(alluxioUriToDel,delInode)"
!ufsSyncChecker.isDirectoryInSync(parentUri),alluxioUriToDel.equals(inodePath.getUri()) || !ufsSyncChecker.isDirectoryInSync(parentUri)
"new UnderFileStatus(""dummy"",isDirectory)","new UnderFileStatus(""dummy"",0L,isDirectory,0L,""owner"",""group"",(short)077)"
DeleteOptions.defaults().setRecursive(true).setAlluxioOnly(false).setUnchecked(false),DeleteOptions.defaults().setRecursive(true).setAlluxioOnly(false).setUnchecked(true)
"LOG.error(""Failed to freeSpace: No StorageDirView has enough capacity of {} bytes"",availableBytes)","LOG.warn(""Failed to freeSpace: No StorageDirView has enough capacity of {} bytes"",availableBytes)"
